"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1187164417558859776","Thu Oct 24 00:30:28 +0000 2019","398","Karakter kompetensi dan relevansi menjadi fokus Mendikbud Nadiem Makarim. Untuk mewujudkannya diperlukan gotong royong semua pihak. Simak pernyataan lengkap Mendikbud di sini &gt;&gt; https://t.co/pFW4ZTZMKD #BersamaIndonesiaMaju #CerdasBerkarakter https://t.co/o77pVkLERJ","1187164417558859776","https://pbs.twimg.com/media/EHmnvRrU4AAHIYf.jpg","","in","Jakarta","6","18","105","https://x.com/Kemdikdasmen/status/1187164417558859776","631701837","Kemdikdasmen"
"1868223167833243921","Sun Dec 15 09:14:47 +0000 2024","0","Berikut ini adalah beberapa contoh deskripsi rapor Semester 1 (Ganjil) Kurikulum Merdeka jenjang SD SMP dan SMA. Rapor Kurikulum Merdeka tidak hanya sekadar kumpulan angka ... https://t.co/yOQkXw2ezH","1868223167833243921","","","in","Jawa Tengah, Indonesia","0","0","0","https://x.com/MediabagiCom/status/1868223167833243921","1862111080501415936","MediabagiCom"
"1859796111252390247","Fri Nov 22 03:08:40 +0000 2024","3"," Pak ini bukunya gak ada yang lebih update? Hah? Kenapa emang? Presidennya sekarang kan Pak Prabowo? BUKU IPS MU ITU KURIKULUM MERDEKA TERBITAN 2023 BELIAU BAHKAN BELUM ADA DUA BULAN MENJABAAAAAAATTTTT!!!!!","1859796111252390247","","","in","","0","3","0","https://x.com/Yukikaze_D_/status/1859796111252390247","1380833554540552197","Yukikaze_D_"
"1864326626055737475","Wed Dec 04 15:11:19 +0000 2024","0","35 Contoh Soal Matematika Kelas 4 Semester 1 Kurikulum Merdeka Lengkap dengan Jawabannya https://t.co/SlTKxc6Ccq","1864326626055737475","","","in","iNews Tower","0","0","0","https://x.com/officialinews_/status/1864326626055737475","132078023","officialinews_"
"1869586930092179560","Thu Dec 19 03:33:54 +0000 2024","6","Siswa diberi kesempatan gali potensi diri Kurikulum merdeka layak dipertahankan. . #fraksidemokrat #demokrat #demokrats14p #demokratjatim #jawatimur #jatim https://t.co/0nOEVVYrxK","1869586930092179560","https://pbs.twimg.com/media/GfIbZkiboAEuT7H.jpg","","in","","0","0","1","https://x.com/JatimDemokrat/status/1869586930092179560","1359748888014458882","JatimDemokrat"
"1868609081709363598","Mon Dec 16 10:48:16 +0000 2024","0","Hukum Salat Gerhana! Kunci Jawaban PAI Kelas 8 Halaman 94 Kurikulum Merdeka https://t.co/82d3pR8JQu","1868609081709363598","","","in","Ambon","0","0","0","https://x.com/tribunambonnews/status/1868609081709363598","1449955921312960513","tribunambonnews"
"1710537957306745254","Sat Oct 07 10:50:50 +0000 2023","379","@WAPamungkas Padahallll.... Fungsinya kurikulum merdeka salah satunya adalah supaya siswa punya track record baik itu prestasi maupun sebaliknya. Jadi gausah cek2 medsos gini gimana kalo anaknya ga punya medsos mo dipaksain juga?","1710608617496592800","","WAPamungkas","in","","4","0","21","https://x.com/antropolohis/status/1710608617496592800","97671645","antropolohis"
"1847173909294334001","Fri Oct 18 07:18:20 +0000 2024","223","@sekar_malam Inilah hasil dari Kurikulum Merdeka....wes ajuuurrrrr jum.....","1847175365833490820","","sekar_malam","in","","1","53","10","https://x.com/YanuarWicakson9/status/1847175365833490820","1538654354622005248","YanuarWicakson9"
"1860917581835841591","Mon Nov 25 05:25:00 +0000 2024","4","Wakil Menteri Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Veronica Tan menekankan pentingnya perubahan paradigma dalam pendidikan anak usia dini (PAUD) melalui Kurikulum Merdeka. https://t.co/eRz4KOn90n","1860917581835841591","","","in","Jakarta - Indonesia","0","1","1","https://x.com/mediaindonesia/status/1860917581835841591","68930552","mediaindonesia"
"1862356394739204431","Fri Nov 29 04:42:20 +0000 2024","1","Tujuannya baik sih tapi kok malah jadi bumerang?! Kurikulum Merdeka emang memuat nilai kreatifitas murid dan guru. Sayangnya kurikulum ini bisa jadi bumerang juga bagi para guru. Kok bisa? Cek selengkapnya di sini yuk! https://t.co/G36SVWne9h https://t.co/oGVSaLJ4iG","1862356394739204431","https://pbs.twimg.com/media/GdhrRIrXgAAqLqe.jpg","","in","Indonesia","0","1","1","https://x.com/campaign_id/status/1862356394739204431","1728180828","campaign_id"
